INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,DISTANCE,
1,S,2008/06/03,07:49:13.200,SPS,52.961855,N,6.526638,E,51.610 m,10.120 km/h,6364604.30 m,
2,S,2008/06/03,07:49:13.400,SPS,52.961854,N,6.526629,E,51.653 m,10.769 km/h,0.63 m,
3,S,2008/06/03,07:49:13.600,SPS,52.961853,N,6.526620,E,51.691 m,11.667 km/h,0.58 m,
4,S,2008/06/03,07:49:13.800,SPS,52.961852,N,6.526611,E,51.703 m,12.147 km/h,0.61 m,
5,S,2008/06/03,07:49:14.000,SPS,52.961851,N,6.526602,E,51.660 m,11.944 km/h,0.59 m,
6,S,2008/06/03,07:49:14.200,SPS,52.961852,N,6.526593,E,51.669 m,12.526 km/h,0.64 m,
7,S,2008/06/03,07:49:14.400,SPS,52.961853,N,6.526583,E,51.662 m,12.948 km/h,0.67 m,
8,S,2008/06/03,07:49:14.600,SPS,52.961854,N,6.526574,E,51.656 m,13.186 km/h,0.63 m,
9,S,2008/06/03,07:49:14.800,SPS,52.961854,N,6.526564,E,51.617 m,13.990 km/h,0.66 m,
10,S,2008/06/03,07:49:15.000,SPS,52.961854,N,6.526554,E,51.605 m,14.194 km/h,0.66 m,
11,S,2008/06/03,07:49:15.200,SPS,52.961855,N,6.526545,E,51.620 m,14.202 km/h,0.65 m,
12,S,2008/06/03,07:49:15.400,SPS,52.961857,N,6.526534,E,51.652 m,14.010 km/h,0.73 m,
13,S,2008/06/03,07:49:15.600,SPS,52.961860,N,6.526523,E,51.608 m,14.171 km/h,0.84 m,
14,S,2008/06/03,07:49:15.800,SPS,52.961861,N,6.526512,E,51.605 m,14.654 km/h,0.72 m,
15,S,2008/06/03,07:49:16.000,SPS,52.961862,N,6.526501,E,51.549 m,14.716 km/h,0.78 m,
16,S,2008/06/03,07:49:16.200,SPS,52.961865,N,6.526488,E,51.531 m,14.579 km/h,0.93 m,
17,S,2008/06/03,07:49:16.400,SPS,52.961867,N,6.526476,E,51.509 m,14.878 km/h,0.82 m,
18,S,2008/06/03,07:49:16.600,SPS,52.961869,N,6.526463,E,51.497 m,14.805 km/h,0.89 m,
19,S,2008/06/03,07:49:16.800,SPS,52.961872,N,6.526451,E,51.390 m,14.911 km/h,0.86 m,
20,S,2008/06/03,07:49:17.000,SPS,52.961876,N,6.526439,E,51.308 m,15.089 km/h,0.96 m,
21,S,2008/06/03,07:49:17.200,SPS,52.961880,N,6.526426,E,51.217 m,14.957 km/h,0.94 m,
22,S,2008/06/03,07:49:17.400,SPS,52.961883,N,6.526415,E,51.132 m,14.585 km/h,0.87 m,
23,S,2008/06/03,07:49:17.600,SPS,52.961885,N,6.526403,E,51.062 m,14.917 km/h,0.86 m,
24,S,2008/06/03,07:49:17.800,SPS,52.961887,N,6.526390,E,50.996 m,14.936 km/h,0.90 m,
25,S,2008/06/03,07:49:18.000,SPS,52.961890,N,6.526378,E,50.919 m,14.942 km/h,0.83 m,
26,S,2008/06/03,07:49:18.200,SPS,52.961893,N,6.526368,E,50.858 m,14.903 km/h,0.77 m,
27,S,2008/06/03,07:49:18.400,SPS,52.961896,N,6.526356,E,50.835 m,14.875 km/h,0.85 m,
28,S,2008/06/03,07:49:18.600,SPS,52.961900,N,6.526345,E,50.821 m,14.971 km/h,0.85 m,
29,S,2008/06/03,07:49:18.800,SPS,52.961903,N,6.526334,E,50.791 m,14.906 km/h,0.84 m,
30,S,2008/06/03,07:49:19.000,SPS,52.961906,N,6.526323,E,50.741 m,15.181 km/h,0.81 m,
31,S,2008/06/03,07:49:19.200,SPS,52.961909,N,6.526311,E,50.704 m,15.420 km/h,0.87 m,
32,S,2008/06/03,07:49:19.400,SPS,52.961911,N,6.526299,E,50.664 m,16.115 km/h,0.89 m,
33,S,2008/06/03,07:49:19.600,SPS,52.961914,N,6.526286,E,50.677 m,16.383 km/h,0.95 m,
34,S,2008/06/03,07:49:19.800,SPS,52.961917,N,6.526274,E,50.620 m,16.808 km/h,0.86 m,
35,S,2008/06/03,07:49:20.000,SPS,52.961921,N,6.526261,E,50.600 m,17.316 km/h,0.97 m,
36,S,2008/06/03,07:49:20.200,SPS,52.961925,N,6.526247,E,50.522 m,17.553 km/h,1.01 m,
37,S,2008/06/03,07:49:20.400,SPS,52.961928,N,6.526234,E,50.443 m,17.685 km/h,0.99 m,
38,S,2008/06/03,07:49:20.600,SPS,52.961932,N,6.526221,E,50.362 m,17.811 km/h,1.00 m,
39,S,2008/06/03,07:49:20.800,SPS,52.961936,N,6.526207,E,50.301 m,17.860 km/h,1.02 m,
40,S,2008/06/03,07:49:21.000,SPS,52.961941,N,6.526193,E,50.290 m,18.465 km/h,1.07 m,
41,S,2008/06/03,07:49:21.200,SPS,52.961945,N,6.526180,E,50.147 m,18.190 km/h,1.03 m,
42,S,2008/06/03,07:49:21.400,SPS,52.961949,N,6.526167,E,50.014 m,18.299 km/h,0.96 m,
43,S,2008/06/03,07:49:21.600,SPS,52.961952,N,6.526152,E,49.901 m,18.531 km/h,1.09 m,
44,S,2008/06/03,07:49:21.800,SPS,52.961957,N,6.526138,E,49.842 m,18.257 km/h,1.06 m,
45,S,2008/06/03,07:49:22.000,SPS,52.961960,N,6.526123,E,49.726 m,18.327 km/h,1.03 m,
46,S,2008/06/03,07:49:22.200,SPS,52.961963,N,6.526109,E,49.663 m,18.039 km/h,1.03 m,
47,S,2008/06/03,07:49:22.400,SPS,52.961966,N,6.526095,E,49.605 m,18.000 km/h,0.99 m,
48,S,2008/06/03,07:49:22.600,SPS,52.961968,N,6.526081,E,49.681 m,18.070 km/h,0.99 m,
49,S,2008/06/03,07:49:22.800,SPS,52.961970,N,6.526067,E,49.669 m,18.316 km/h,0.94 m,
50,S,2008/06/03,07:49:23.000,SPS,52.961971,N,6.526052,E,49.741 m,18.033 km/h,1.04 m,
51,S,2008/06/03,07:49:23.200,SPS,52.961973,N,6.526037,E,49.751 m,17.566 km/h,1.00 m,
52,S,2008/06/03,07:49:23.400,SPS,52.961975,N,6.526023,E,49.764 m,17.812 km/h,0.98 m,
53,S,2008/06/03,07:49:23.600,SPS,52.961976,N,6.526009,E,49.784 m,17.681 km/h,0.94 m,
54,S,2008/06/03,07:49:23.800,SPS,52.961977,N,6.525995,E,49.801 m,17.255 km/h,0.98 m,
55,S,2008/06/03,07:49:24.000,SPS,52.961978,N,6.525981,E,49.814 m,17.349 km/h,0.96 m,
56,S,2008/06/03,07:49:24.200,SPS,52.961980,N,6.525966,E,49.886 m,17.478 km/h,0.98 m,
57,S,2008/06/03,07:49:24.400,SPS,52.961981,N,6.525951,E,49.958 m,17.534 km/h,1.04 m,
58,S,2008/06/03,07:49:24.600,SPS,52.961981,N,6.525937,E,49.914 m,16.988 km/h,0.96 m,
59,S,2008/06/03,07:49:24.800,SPS,52.961981,N,6.525923,E,49.780 m,16.662 km/h,0.96 m,
60,S,2008/06/03,07:49:25.000,SPS,52.961980,N,6.525909,E,49.809 m,16.579 km/h,0.89 m,
61,S,2008/06/03,07:49:25.200,SPS,52.961979,N,6.525897,E,50.007 m,16.434 km/h,0.88 m,
62,S,2008/06/03,07:49:25.400,SPS,52.961978,N,6.525884,E,50.030 m,16.258 km/h,0.87 m,
63,S,2008/06/03,07:49:25.600,SPS,52.961976,N,6.525871,E,50.045 m,16.320 km/h,0.92 m,
64,S,2008/06/03,07:49:25.800,SPS,52.961973,N,6.525857,E,50.083 m,16.940 km/h,0.95 m,
65,S,2008/06/03,07:49:26.000,SPS,52.961970,N,6.525844,E,50.059 m,17.131 km/h,0.96 m,
66,S,2008/06/03,07:49:26.200,SPS,52.961966,N,6.525831,E,50.061 m,17.603 km/h,0.97 m,
67,S,2008/06/03,07:49:26.400,SPS,52.961962,N,6.525818,E,50.079 m,17.608 km/h,0.99 m,
68,S,2008/06/03,07:49:26.600,SPS,52.961956,N,6.525805,E,50.162 m,17.573 km/h,1.07 m,
69,S,2008/06/03,07:49:26.800,SPS,52.961951,N,6.525792,E,50.183 m,17.534 km/h,1.10 m,
70,S,2008/06/03,07:49:27.000,SPS,52.961946,N,6.525778,E,50.219 m,18.052 km/h,1.08 m,
71,S,2008/06/03,07:49:27.200,SPS,52.961942,N,6.525764,E,50.310 m,18.463 km/h,1.07 m,
72,S,2008/06/03,07:49:27.400,SPS,52.961937,N,6.525749,E,50.409 m,18.359 km/h,1.08 m,
73,S,2008/06/03,07:49:27.600,SPS,52.961932,N,6.525736,E,50.466 m,18.702 km/h,1.07 m,
74,S,2008/06/03,07:49:27.800,SPS,52.961927,N,6.525721,E,50.478 m,19.077 km/h,1.13 m,
75,S,2008/06/03,07:49:28.000,SPS,52.961922,N,6.525707,E,50.554 m,19.128 km/h,1.11 m,
76,S,2008/06/03,07:49:28.200,SPS,52.961916,N,6.525694,E,50.661 m,19.214 km/h,1.14 m,
77,S,2008/06/03,07:49:28.400,SPS,52.961909,N,6.525680,E,50.719 m,19.424 km/h,1.19 m,
78,S,2008/06/03,07:49:28.600,SPS,52.961902,N,6.525667,E,50.785 m,19.131 km/h,1.17 m,
79,S,2008/06/03,07:49:28.800,SPS,52.961896,N,6.525654,E,50.811 m,19.320 km/h,1.13 m,
80,S,2008/06/03,07:49:29.000,SPS,52.961890,N,6.525639,E,50.862 m,19.823 km/h,1.16 m,
81,S,2008/06/03,07:49:29.200,SPS,52.961885,N,6.525624,E,51.008 m,19.937 km/h,1.17 m,
82,S,2008/06/03,07:49:29.400,SPS,52.961880,N,6.525609,E,51.085 m,19.734 km/h,1.17 m,
83,S,2008/06/03,07:49:29.600,SPS,52.961873,N,6.525594,E,51.124 m,20.243 km/h,1.23 m,
84,S,2008/06/03,07:49:29.800,SPS,52.961866,N,6.525579,E,51.191 m,20.528 km/h,1.31 m,
85,S,2008/06/03,07:49:30.000,SPS,52.961858,N,6.525562,E,51.305 m,20.543 km/h,1.41 m,
86,S,2008/06/03,07:49:30.200,SPS,52.961850,N,6.525548,E,51.386 m,20.236 km/h,1.30 m,
87,S,2008/06/03,07:49:30.400,SPS,52.961843,N,6.525532,E,51.464 m,20.509 km/h,1.33 m,
88,S,2008/06/03,07:49:30.600,SPS,52.961836,N,6.525517,E,51.475 m,20.357 km/h,1.31 m,
89,S,2008/06/03,07:49:30.800,SPS,52.961828,N,6.525502,E,51.486 m,20.780 km/h,1.29 m,
90,S,2008/06/03,07:49:31.000,SPS,52.961822,N,6.525488,E,51.560 m,20.905 km/h,1.17 m,
91,S,2008/06/03,07:49:31.200,SPS,52.961816,N,6.525474,E,51.667 m,20.603 km/h,1.19 m,
92,S,2008/06/03,07:49:31.400,SPS,52.961809,N,6.525459,E,51.690 m,20.790 km/h,1.30 m,
93,S,2008/06/03,07:49:31.600,SPS,52.961802,N,6.525445,E,51.681 m,20.868 km/h,1.23 m,
94,S,2008/06/03,07:49:31.800,SPS,52.961795,N,6.525428,E,51.697 m,20.813 km/h,1.40 m,
95,S,2008/06/03,07:49:32.000,SPS,52.961788,N,6.525413,E,51.772 m,20.746 km/h,1.20 m,
96,S,2008/06/03,07:49:32.200,SPS,52.961781,N,6.525397,E,51.801 m,20.829 km/h,1.32 m,
97,S,2008/06/03,07:49:32.400,SPS,52.961775,N,6.525383,E,51.811 m,21.072 km/h,1.17 m,
98,S,2008/06/03,07:49:32.600,SPS,52.961769,N,6.525368,E,51.803 m,21.336 km/h,1.24 m,
99,S,2008/06/03,07:49:32.800,SPS,52.961762,N,6.525354,E,51.792 m,21.266 km/h,1.25 m,
100,S,2008/06/03,07:49:33.000,SPS,52.961754,N,6.525340,E,51.847 m,20.721 km/h,1.23 m,
101,S,2008/06/03,07:49:33.200,SPS,52.961748,N,6.525326,E,51.882 m,20.783 km/h,1.17 m,
102,S,2008/06/03,07:49:33.400,SPS,52.961741,N,6.525314,E,51.884 m,20.688 km/h,1.16 m,
103,S,2008/06/03,07:49:33.600,SPS,52.961734,N,6.525300,E,51.884 m,21.004 km/h,1.16 m,
104,S,2008/06/03,07:49:33.800,SPS,52.961728,N,6.525285,E,51.947 m,20.959 km/h,1.20 m,
105,S,2008/06/03,07:49:34.000,SPS,52.961722,N,6.525271,E,52.008 m,21.039 km/h,1.15 m,
106,S,2008/06/03,07:49:34.200,SPS,52.961716,N,6.525257,E,52.135 m,20.614 km/h,1.18 m,
107,S,2008/06/03,07:49:34.400,SPS,52.961710,N,6.525242,E,52.192 m,20.869 km/h,1.24 m,
108,S,2008/06/03,07:49:34.600,SPS,52.961704,N,6.525228,E,52.281 m,20.683 km/h,1.13 m,
109,S,2008/06/03,07:49:34.800,SPS,52.961697,N,6.525213,E,52.371 m,21.008 km/h,1.30 m,
110,S,2008/06/03,07:49:35.000,SPS,52.961690,N,6.525199,E,52.568 m,20.750 km/h,1.17 m,
111,S,2008/06/03,07:49:35.200,SPS,52.961685,N,6.525185,E,52.711 m,20.824 km/h,1.15 m,
112,S,2008/06/03,07:49:35.400,SPS,52.961678,N,6.525171,E,52.709 m,20.705 km/h,1.22 m,
113,S,2008/06/03,07:49:35.600,SPS,52.961671,N,6.525156,E,52.713 m,21.091 km/h,1.28 m,
114,S,2008/06/03,07:49:35.800,SPS,52.961664,N,6.525141,E,52.832 m,20.644 km/h,1.31 m,
115,S,2008/06/03,07:49:36.000,SPS,52.961657,N,6.525127,E,52.902 m,20.739 km/h,1.20 m,
116,S,2008/06/03,07:49:36.200,SPS,52.961650,N,6.525112,E,52.997 m,20.565 km/h,1.23 m,
117,S,2008/06/03,07:49:36.400,SPS,52.961643,N,6.525099,E,53.048 m,20.389 km/h,1.18 m,
118,S,2008/06/03,07:49:36.600,SPS,52.961637,N,6.525086,E,53.071 m,20.632 km/h,1.17 m,
119,S,2008/06/03,07:49:36.800,SPS,52.961630,N,6.525071,E,53.122 m,20.412 km/h,1.24 m,
120,S,2008/06/03,07:49:37.000,SPS,52.961623,N,6.525057,E,53.202 m,20.556 km/h,1.26 m,
121,S,2008/06/03,07:49:37.200,SPS,52.961616,N,6.525042,E,53.261 m,20.691 km/h,1.21 m,
122,S,2008/06/03,07:49:37.400,SPS,52.961609,N,6.525028,E,53.402 m,20.025 km/h,1.26 m,
123,S,2008/06/03,07:49:37.600,SPS,52.961601,N,6.525015,E,53.497 m,20.093 km/h,1.19 m,
124,S,2008/06/03,07:49:37.800,SPS,52.961594,N,6.525002,E,53.512 m,20.176 km/h,1.19 m,
125,S,2008/06/03,07:49:38.000,SPS,52.961588,N,6.524989,E,53.575 m,20.174 km/h,1.14 m,
126,S,2008/06/03,07:49:38.200,SPS,52.961582,N,6.524976,E,53.639 m,20.146 km/h,1.08 m,
127,S,2008/06/03,07:49:38.400,SPS,52.961576,N,6.524964,E,53.650 m,19.921 km/h,1.05 m,
128,S,2008/06/03,07:49:38.600,SPS,52.961570,N,6.524950,E,53.712 m,19.877 km/h,1.13 m,
129,S,2008/06/03,07:49:38.800,SPS,52.961565,N,6.524936,E,53.854 m,19.517 km/h,1.14 m,
130,S,2008/06/03,07:49:39.000,SPS,52.961559,N,6.524922,E,53.923 m,18.790 km/h,1.17 m,
131,S,2008/06/03,07:49:39.200,SPS,52.961553,N,6.524910,E,53.948 m,18.103 km/h,1.01 m,
132,S,2008/06/03,07:49:39.400,SPS,52.961547,N,6.524899,E,53.892 m,17.958 km/h,1.02 m,
133,S,2008/06/03,07:49:39.600,SPS,52.961542,N,6.524887,E,53.894 m,17.171 km/h,0.98 m,
134,S,2008/06/03,07:49:39.800,SPS,52.961536,N,6.524876,E,53.855 m,16.646 km/h,0.95 m,
135,S,2008/06/03,07:49:40.000,SPS,52.961531,N,6.524865,E,53.861 m,16.083 km/h,0.97 m,
136,S,2008/06/03,07:49:40.200,SPS,52.961526,N,6.524853,E,53.915 m,15.619 km/h,1.00 m,
137,S,2008/06/03,07:49:40.400,SPS,52.961522,N,6.524843,E,53.946 m,14.962 km/h,0.78 m,
138,S,2008/06/03,07:49:40.600,SPS,52.961518,N,6.524834,E,53.874 m,14.570 km/h,0.77 m,
139,S,2008/06/03,07:49:40.800,SPS,52.961514,N,6.524824,E,53.868 m,14.507 km/h,0.79 m,
140,S,2008/06/03,07:49:41.000,SPS,52.961512,N,6.524814,E,53.882 m,14.152 km/h,0.72 m,
141,S,2008/06/03,07:49:41.200,SPS,52.961509,N,6.524805,E,53.933 m,14.018 km/h,0.69 m,
142,S,2008/06/03,07:49:41.400,SPS,52.961506,N,6.524795,E,53.856 m,14.029 km/h,0.75 m,
143,S,2008/06/03,07:49:41.600,SPS,52.961503,N,6.524786,E,53.771 m,13.357 km/h,0.69 m,
144,S,2008/06/03,07:49:41.800,SPS,52.961502,N,6.524777,E,53.628 m,13.124 km/h,0.66 m,
145,S,2008/06/03,07:49:42.000,SPS,52.961500,N,6.524769,E,53.440 m,12.862 km/h,0.54 m,
146,S,2008/06/03,07:49:42.200,SPS,52.961500,N,6.524761,E,53.367 m,12.437 km/h,0.59 m,
147,S,2008/06/03,07:49:42.400,SPS,52.961499,N,6.524753,E,53.253 m,11.871 km/h,0.50 m,
148,S,2008/06/03,07:49:42.600,SPS,52.961500,N,6.524746,E,53.155 m,11.163 km/h,0.53 m,
149,S,2008/06/03,07:49:42.800,SPS,52.961502,N,6.524738,E,52.940 m,11.116 km/h,0.62 m,
150,S,2008/06/03,07:49:43.000,SPS,52.961503,N,6.524728,E,52.934 m,10.904 km/h,0.70 m,
151,S,2008/06/03,07:49:43.200,SPS,52.961506,N,6.524719,E,52.900 m,10.751 km/h,0.66 m,
152,S,2008/06/03,07:49:43.400,SPS,52.961509,N,6.524710,E,52.888 m,11.058 km/h,0.71 m,
153,S,2008/06/03,07:49:43.600,SPS,52.961511,N,6.524702,E,52.788 m,10.215 km/h,0.57 m,
154,S,2008/06/03,07:58:18.000,SPS,52.961552,N,6.524607,E,51.147 m,10.381 km/h,8.01 m,
155,S,2008/06/03,07:58:18.200,SPS,52.961556,N,6.524602,E,51.131 m,10.693 km/h,0.53 m,
156,S,2008/06/03,07:58:18.400,SPS,52.961559,N,6.524595,E,51.093 m,11.452 km/h,0.58 m,
157,S,2008/06/03,07:58:18.600,SPS,52.961563,N,6.524588,E,51.086 m,12.319 km/h,0.66 m,
158,S,2008/06/03,07:58:18.800,SPS,52.961568,N,6.524579,E,51.084 m,12.861 km/h,0.83 m,
159,S,2008/06/03,07:58:19.000,SPS,52.961574,N,6.524570,E,51.151 m,13.371 km/h,0.88 m,
160,S,2008/06/03,07:58:19.200,SPS,52.961580,N,6.524562,E,51.183 m,14.337 km/h,0.87 m,
161,S,2008/06/03,07:58:19.400,SPS,52.961586,N,6.524553,E,51.183 m,14.734 km/h,0.88 m,
162,S,2008/06/03,07:58:19.600,SPS,52.961591,N,6.524545,E,51.114 m,14.871 km/h,0.81 m,
163,S,2008/06/03,07:58:19.800,SPS,52.961597,N,6.524537,E,51.139 m,14.830 km/h,0.81 m,
164,S,2008/06/03,07:58:20.000,SPS,52.961604,N,6.524530,E,51.166 m,14.978 km/h,0.95 m,
165,S,2008/06/03,07:58:20.200,SPS,52.961611,N,6.524522,E,51.179 m,14.694 km/h,0.94 m,
166,S,2008/06/03,07:58:20.400,SPS,52.961618,N,6.524514,E,51.187 m,14.390 km/h,0.92 m,
167,S,2008/06/03,07:58:20.600,SPS,52.961624,N,6.524507,E,51.189 m,13.989 km/h,0.86 m,
168,S,2008/06/03,07:58:20.800,SPS,52.961631,N,6.524501,E,51.174 m,13.765 km/h,0.86 m,
169,S,2008/06/03,07:58:21.000,SPS,52.961637,N,6.524495,E,51.148 m,13.835 km/h,0.83 m,
170,S,2008/06/03,07:58:21.200,SPS,52.961644,N,6.524488,E,51.135 m,13.472 km/h,0.85 m,
171,S,2008/06/03,07:58:21.400,SPS,52.961650,N,6.524480,E,51.119 m,13.472 km/h,0.88 m,
172,S,2008/06/03,07:58:21.600,SPS,52.961657,N,6.524473,E,51.124 m,13.144 km/h,0.86 m,
173,S,2008/06/03,07:58:21.800,SPS,52.961663,N,6.524467,E,51.184 m,13.172 km/h,0.86 m,
174,S,2008/06/03,07:58:22.000,SPS,52.961669,N,6.524461,E,51.179 m,13.621 km/h,0.76 m,
175,S,2008/06/03,07:58:22.200,SPS,52.961676,N,6.524455,E,51.221 m,13.355 km/h,0.85 m,
176,S,2008/06/03,07:58:22.400,SPS,52.961682,N,6.524450,E,51.226 m,13.428 km/h,0.81 m,
177,S,2008/06/03,07:58:22.600,SPS,52.961689,N,6.524444,E,51.223 m,13.873 km/h,0.80 m,
178,S,2008/06/03,07:58:22.800,SPS,52.961696,N,6.524438,E,51.202 m,13.978 km/h,0.84 m,
179,S,2008/06/03,07:58:23.000,SPS,52.961701,N,6.524433,E,51.159 m,13.809 km/h,0.74 m,
180,S,2008/06/03,07:58:23.200,SPS,52.961707,N,6.524427,E,51.179 m,13.386 km/h,0.75 m,
181,S,2008/06/03,07:58:23.400,SPS,52.961713,N,6.524422,E,51.188 m,13.006 km/h,0.74 m,
182,S,2008/06/03,07:58:23.600,SPS,52.961720,N,6.524416,E,51.202 m,12.565 km/h,0.81 m,
183,S,2008/06/03,07:58:23.800,SPS,52.961726,N,6.524411,E,51.196 m,12.543 km/h,0.81 m,
184,S,2008/06/03,07:58:24.000,SPS,52.961732,N,6.524406,E,51.208 m,12.321 km/h,0.80 m,
185,S,2008/06/03,07:58:24.200,SPS,52.961738,N,6.524401,E,51.243 m,11.780 km/h,0.71 m,
186,S,2008/06/03,07:58:24.400,SPS,52.961744,N,6.524395,E,51.248 m,11.453 km/h,0.73 m,
187,S,2008/06/03,07:58:24.600,SPS,52.961748,N,6.524389,E,51.315 m,11.183 km/h,0.68 m,
188,S,2008/06/03,07:58:24.800,SPS,52.961753,N,6.524383,E,51.362 m,10.585 km/h,0.65 m,
189,S,2008/06/03,07:58:25.000,SPS,52.961758,N,6.524378,E,51.382 m,10.164 km/h,0.62 m,
190,S,2008/06/03,08:01:09.200,SPS,52.962158,N,6.524191,E,52.283 m,11.201 km/h,46.31 m,
191,S,2008/06/03,08:01:09.400,SPS,52.962165,N,6.524192,E,52.262 m,12.645 km/h,0.76 m,
192,S,2008/06/03,08:01:09.600,SPS,52.962172,N,6.524194,E,52.278 m,13.766 km/h,0.83 m,
193,S,2008/06/03,08:01:09.800,SPS,52.962180,N,6.524198,E,52.262 m,15.746 km/h,0.88 m,
194,S,2008/06/03,08:01:10.000,SPS,52.962188,N,6.524205,E,52.280 m,17.444 km/h,1.00 m,
195,S,2008/06/03,08:01:10.200,SPS,52.962196,N,6.524214,E,52.277 m,19.446 km/h,1.11 m,
196,S,2008/06/03,08:01:10.400,SPS,52.962204,N,6.524224,E,52.214 m,20.321 km/h,1.09 m,
197,S,2008/06/03,08:01:10.600,SPS,52.962212,N,6.524236,E,52.173 m,22.075 km/h,1.21 m,
198,S,2008/06/03,08:01:10.800,SPS,52.962222,N,6.524248,E,52.142 m,23.880 km/h,1.35 m,
199,S,2008/06/03,08:01:11.000,SPS,52.962230,N,6.524263,E,52.140 m,24.397 km/h,1.35 m,
200,S,2008/06/03,08:01:11.200,SPS,52.962239,N,6.524281,E,52.114 m,26.251 km/h,1.59 m,
201,S,2008/06/03,08:01:11.400,SPS,52.962250,N,6.524298,E,52.085 m,28.023 km/h,1.67 m,
202,S,2008/06/03,08:01:11.600,SPS,52.962260,N,6.524318,E,52.044 m,29.886 km/h,1.71 m,
203,S,2008/06/03,08:01:11.800,SPS,52.962269,N,6.524339,E,52.031 m,32.176 km/h,1.76 m,
204,S,2008/06/03,08:01:12.000,SPS,52.962281,N,6.524360,E,52.038 m,33.576 km/h,1.90 m,
205,S,2008/06/03,08:01:12.200,SPS,52.962293,N,6.524383,E,52.061 m,35.005 km/h,2.04 m,
206,S,2008/06/03,08:01:12.400,SPS,52.962304,N,6.524408,E,52.052 m,36.435 km/h,2.09 m,
207,S,2008/06/03,08:01:12.600,SPS,52.962315,N,6.524437,E,52.092 m,38.403 km/h,2.28 m,
208,S,2008/06/03,08:01:12.800,SPS,52.962328,N,6.524463,E,52.145 m,39.384 km/h,2.30 m,
209,S,2008/06/03,08:01:13.000,SPS,52.962342,N,6.524491,E,52.174 m,41.467 km/h,2.42 m,
210,S,2008/06/03,08:01:13.200,SPS,52.962357,N,6.524519,E,52.205 m,43.364 km/h,2.55 m,
211,S,2008/06/03,08:01:13.400,SPS,52.962372,N,6.524549,E,52.217 m,44.983 km/h,2.63 m,
212,S,2008/06/03,08:01:13.600,SPS,52.962390,N,6.524577,E,52.255 m,46.158 km/h,2.71 m,
213,S,2008/06/03,08:01:13.800,SPS,52.962409,N,6.524608,E,52.203 m,48.923 km/h,3.00 m,
214,S,2008/06/03,08:01:14.000,SPS,52.962428,N,6.524643,E,52.084 m,50.469 km/h,3.20 m,
215,S,2008/06/03,08:01:14.200,SPS,52.962446,N,6.524682,E,51.947 m,51.361 km/h,3.27 m,
216,S,2008/06/03,08:01:14.400,SPS,52.962463,N,6.524722,E,51.845 m,53.046 km/h,3.32 m,
217,S,2008/06/03,08:01:14.600,SPS,52.962481,N,6.524761,E,51.769 m,54.487 km/h,3.27 m,
218,S,2008/06/03,08:01:14.800,SPS,52.962501,N,6.524798,E,51.804 m,56.511 km/h,3.36 m,
219,S,2008/06/03,08:01:15.000,SPS,52.962524,N,6.524837,E,51.849 m,58.324 km/h,3.59 m,
220,S,2008/06/03,08:01:15.200,SPS,52.962546,N,6.524877,E,51.909 m,60.193 km/h,3.71 m,
221,S,2008/06/03,08:01:15.400,SPS,52.962568,N,6.524922,E,51.888 m,62.052 km/h,3.83 m,
222,S,2008/06/03,08:01:15.600,SPS,52.962588,N,6.524967,E,51.855 m,63.172 km/h,3.78 m,
223,S,2008/06/03,08:01:15.800,SPS,52.962608,N,6.525016,E,51.818 m,65.055 km/h,3.97 m,
224,S,2008/06/03,08:01:16.000,SPS,52.962629,N,6.525063,E,51.793 m,66.791 km/h,3.94 m,
225,S,2008/06/03,08:01:16.200,SPS,52.962652,N,6.525111,E,51.810 m,68.631 km/h,4.11 m,
226,S,2008/06/03,08:01:16.400,SPS,52.962675,N,6.525159,E,51.852 m,69.364 km/h,4.14 m,
227,S,2008/06/03,08:01:16.600,SPS,52.962700,N,6.525207,E,51.859 m,70.742 km/h,4.25 m,
228,S,2008/06/03,08:01:16.800,SPS,52.962725,N,6.525254,E,51.875 m,71.027 km/h,4.18 m,
229,S,2008/06/03,08:01:17.000,SPS,52.962750,N,6.525301,E,51.895 m,72.055 km/h,4.21 m,
230,S,2008/06/03,08:01:17.200,SPS,52.962774,N,6.525348,E,51.815 m,72.727 km/h,4.15 m,
231,S,2008/06/03,08:01:17.400,SPS,52.962799,N,6.525397,E,51.714 m,72.985 km/h,4.27 m,
232,S,2008/06/03,08:01:17.600,SPS,52.962823,N,6.525446,E,51.725 m,74.288 km/h,4.31 m,
233,S,2008/06/03,08:01:17.800,SPS,52.962848,N,6.525498,E,51.712 m,75.192 km/h,4.41 m,
234,S,2008/06/03,08:01:18.000,SPS,52.962873,N,6.525552,E,51.662 m,76.101 km/h,4.62 m,
235,S,2008/06/03,08:01:18.200,SPS,52.962899,N,6.525606,E,51.666 m,76.713 km/h,4.63 m,
236,S,2008/06/03,08:01:18.400,SPS,52.962925,N,6.525657,E,51.694 m,77.549 km/h,4.44 m,
237,S,2008/06/03,08:01:18.600,SPS,52.962951,N,6.525708,E,51.735 m,78.247 km/h,4.53 m,
238,S,2008/06/03,08:01:18.800,SPS,52.962977,N,6.525763,E,51.630 m,79.403 km/h,4.67 m,
239,S,2008/06/03,08:01:19.000,SPS,52.963003,N,6.525818,E,51.665 m,80.307 km/h,4.66 m,
240,S,2008/06/03,08:01:19.200,SPS,52.963029,N,6.525870,E,51.693 m,80.814 km/h,4.56 m,
